"","FID","value","parameter","date","year","month"
"1",7000,0.0673676940276955,"Evaporation anomaly",2022-01-01,2022,"January"
"2",7000,0.480026795803088,"Evaporation anomaly",2022-02-01,2022,"February"
"3",7000,0.688856170590023,"Evaporation anomaly",2022-03-01,2022,"March"
"4",7000,0.424515585601361,"Evaporation anomaly",2022-04-01,2022,"April"
"5",7000,0.338063379747223,"Evaporation anomaly",2022-05-01,2022,"May"
"6",7000,-0.025628077924836,"Evaporation anomaly",2022-06-01,2022,"June"
"7",7000,0.0044151850203703,"Evaporation anomaly",2022-07-01,2022,"July"
"8",7000,-0.0579940320059231,"Evaporation anomaly",2022-08-01,2022,"August"
"9",7000,-0.132653850142958,"Evaporation anomaly",2022-09-01,2022,"September"
"10",7000,0.301845646624685,"Evaporation anomaly",2022-10-01,2022,"October"
"11",7000,0.189337117283178,"Evaporation anomaly",2022-11-01,2022,"November"
"12",7000,0.23870591088979,"Evaporation anomaly",2022-12-01,2022,"December"
"13",7000,-0.717050327821131,"Evaporation anomaly",2023-01-01,2023,"January"
"14",7001,0.00781062291935086,"Evaporation anomaly",2022-01-01,2022,"January"
"15",7001,0.50711864233017,"Evaporation anomaly",2022-02-01,2022,"February"
"16",7001,0.694468855857849,"Evaporation anomaly",2022-03-01,2022,"March"
"17",7001,0.461286842823029,"Evaporation anomaly",2022-04-01,2022,"April"
"18",7001,0.340879946947098,"Evaporation anomaly",2022-05-01,2022,"May"
"19",7001,-0.00148007075767964,"Evaporation anomaly",2022-06-01,2022,"June"
"20",7001,0.00806386768817902,"Evaporation anomaly",2022-07-01,2022,"July"
"21",7001,-0.0592837147414684,"Evaporation anomaly",2022-08-01,2022,"August"
"22",7001,-0.130152672529221,"Evaporation anomaly",2022-09-01,2022,"September"
"23",7001,0.302587419748306,"Evaporation anomaly",2022-10-01,2022,"October"
"24",7001,0.0980315655469894,"Evaporation anomaly",2022-11-01,2022,"November"
"25",7001,0.248002529144287,"Evaporation anomaly",2022-12-01,2022,"December"
"26",7001,-0.728432238101959,"Evaporation anomaly",2023-01-01,2023,"January"
"27",7002,0.00191687658368271,"Evaporation anomaly",2022-01-01,2022,"January"
"28",7002,0.509138757424512,"Evaporation anomaly",2022-02-01,2022,"February"
"29",7002,0.693065641163627,"Evaporation anomaly",2022-03-01,2022,"March"
"30",7002,0.465228208371016,"Evaporation anomaly",2022-04-01,2022,"April"
"31",7002,0.340537731651149,"Evaporation anomaly",2022-05-01,2022,"May"
"32",7002,-0.003270945298757,"Evaporation anomaly",2022-06-01,2022,"June"
"33",7002,0.00783125860561154,"Evaporation anomaly",2022-07-01,2022,"July"
"34",7002,-0.0592648291094563,"Evaporation anomaly",2022-08-01,2022,"August"
"35",7002,-0.130517697137298,"Evaporation anomaly",2022-09-01,2022,"September"
"36",7002,0.303339482267204,"Evaporation anomaly",2022-10-01,2022,"October"
"37",7002,0.0826530257826324,"Evaporation anomaly",2022-11-01,2022,"November"
"38",7002,0.248195903058263,"Evaporation anomaly",2022-12-01,2022,"December"
"39",7002,-0.726915255931559,"Evaporation anomaly",2023-01-01,2023,"January"
"40",7003,-0.0560704097151756,"Evaporation anomaly",2022-01-01,2022,"January"
"41",7003,0.529014229774475,"Evaporation anomaly",2022-02-01,2022,"February"
"42",7003,0.679259717464447,"Evaporation anomaly",2022-03-01,2022,"March"
"43",7003,0.504006445407867,"Evaporation anomaly",2022-04-01,2022,"April"
"44",7003,0.337170749902725,"Evaporation anomaly",2022-05-01,2022,"May"
"45",7003,-0.0208909697830677,"Evaporation anomaly",2022-06-01,2022,"June"
"46",7003,0.00554266851395369,"Evaporation anomaly",2022-07-01,2022,"July"
"47",7003,-0.0590790174901485,"Evaporation anomaly",2022-08-01,2022,"August"
"48",7003,-0.13410909473896,"Evaporation anomaly",2022-09-01,2022,"September"
"49",7003,0.310738861560822,"Evaporation anomaly",2022-10-01,2022,"October"
"50",7003,-0.0686530768871307,"Evaporation anomaly",2022-11-01,2022,"November"
"51",7003,0.250098466873169,"Evaporation anomaly",2022-12-01,2022,"December"
"52",7003,-0.711989998817444,"Evaporation anomaly",2023-01-01,2023,"January"
"53",7004,-0.0639534266378947,"Evaporation anomaly",2022-01-01,2022,"January"
"54",7004,0.531244831166565,"Evaporation anomaly",2022-02-01,2022,"February"
"55",7004,0.677284689123897,"Evaporation anomaly",2022-03-01,2022,"March"
"56",7004,0.508604646220266,"Evaporation anomaly",2022-04-01,2022,"April"
"57",7004,0.336994728829298,"Evaporation anomaly",2022-05-01,2022,"May"
"58",7004,-0.0235550901308104,"Evaporation anomaly",2022-06-01,2022,"June"
"59",7004,0.00561290989046246,"Evaporation anomaly",2022-07-01,2022,"July"
"60",7004,-0.0589010637210234,"Evaporation anomaly",2022-08-01,2022,"August"
"61",7004,-0.13497790594838,"Evaporation anomaly",2022-09-01,2022,"September"
"62",7004,0.313106481954496,"Evaporation anomaly",2022-10-01,2022,"October"
"63",7004,-0.0888450342174128,"Evaporation anomaly",2022-11-01,2022,"November"
"64",7004,0.247653920366834,"Evaporation anomaly",2022-12-01,2022,"December"
"65",7004,-0.711351645053503,"Evaporation anomaly",2023-01-01,2023,"January"
"66",7005,-0.112077683210373,"Evaporation anomaly",2022-01-01,2022,"January"
"67",7005,0.54486221075058,"Evaporation anomaly",2022-02-01,2022,"February"
"68",7005,0.66522753238678,"Evaporation anomaly",2022-03-01,2022,"March"
"69",7005,0.536675751209259,"Evaporation anomaly",2022-04-01,2022,"April"
"70",7005,0.33592015504837,"Evaporation anomaly",2022-05-01,2022,"May"
"71",7005,-0.0398190170526505,"Evaporation anomaly",2022-06-01,2022,"June"
"72",7005,0.00604171957820654,"Evaporation anomaly",2022-07-01,2022,"July"
"73",7005,-0.0578146912157536,"Evaporation anomaly",2022-08-01,2022,"August"
"74",7005,-0.140281826257706,"Evaporation anomaly",2022-09-01,2022,"September"
"75",7005,0.32756033539772,"Evaporation anomaly",2022-10-01,2022,"October"
"76",7005,-0.212112933397293,"Evaporation anomaly",2022-11-01,2022,"November"
"77",7005,0.232730448246002,"Evaporation anomaly",2022-12-01,2022,"December"
"78",7005,-0.70745462179184,"Evaporation anomaly",2023-01-01,2023,"January"
"79",7006,-0.117306705949468,"Evaporation anomaly",2022-01-01,2022,"January"
"80",7006,0.548855427192782,"Evaporation anomaly",2022-02-01,2022,"February"
"81",7006,0.663612191973452,"Evaporation anomaly",2022-03-01,2022,"March"
"82",7006,0.538953465419241,"Evaporation anomaly",2022-04-01,2022,"April"
"83",7006,0.336688435066422,"Evaporation anomaly",2022-05-01,2022,"May"
"84",7006,-0.0392699802272613,"Evaporation anomaly",2022-06-01,2022,"June"
"85",7006,0.00604462538522871,"Evaporation anomaly",2022-07-01,2022,"July"
"86",7006,-0.0580595041011641,"Evaporation anomaly",2022-08-01,2022,"August"
"87",7006,-0.140555264776837,"Evaporation anomaly",2022-09-01,2022,"September"
"88",7006,0.328966713024755,"Evaporation anomaly",2022-10-01,2022,"October"
"89",7006,-0.227337868040129,"Evaporation anomaly",2022-11-01,2022,"November"
"90",7006,0.235544529131419,"Evaporation anomaly",2022-12-01,2022,"December"
"91",7006,-0.703698269519532,"Evaporation anomaly",2023-01-01,2023,"January"
"92",7007,-0.1466393917799,"Evaporation anomaly",2022-01-01,2022,"January"
"93",7007,0.571255743503571,"Evaporation anomaly",2022-02-01,2022,"February"
"94",7007,0.654550790786743,"Evaporation anomaly",2022-03-01,2022,"March"
"95",7007,0.551730513572693,"Evaporation anomaly",2022-04-01,2022,"April"
"96",7007,0.34099817276001,"Evaporation anomaly",2022-05-01,2022,"May"
"97",7007,-0.0361901074647903,"Evaporation anomaly",2022-06-01,2022,"June"
"98",7007,0.00606092577800155,"Evaporation anomaly",2022-07-01,2022,"July"
"99",7007,-0.0594328045845032,"Evaporation anomaly",2022-08-01,2022,"August"
"100",7007,-0.142089143395424,"Evaporation anomaly",2022-09-01,2022,"September"
"101",7007,0.336855918169022,"Evaporation anomaly",2022-10-01,2022,"October"
"102",7007,-0.312743544578552,"Evaporation anomaly",2022-11-01,2022,"November"
"103",7007,0.251330375671387,"Evaporation anomaly",2022-12-01,2022,"December"
"104",7007,-0.682626664638519,"Evaporation anomaly",2023-01-01,2023,"January"
"105",7008,-0.144620645553084,"Evaporation anomaly",2022-01-01,2022,"January"
"106",7008,0.573803029326316,"Evaporation anomaly",2022-02-01,2022,"February"
"107",7008,0.651920855720087,"Evaporation anomaly",2022-03-01,2022,"March"
"108",7008,0.55010617278422,"Evaporation anomaly",2022-04-01,2022,"April"
"109",7008,0.34173497392717,"Evaporation anomaly",2022-05-01,2022,"May"
"110",7008,-0.0396542436723457,"Evaporation anomaly",2022-06-01,2022,"June"
"111",7008,0.00410602653452019,"Evaporation anomaly",2022-07-01,2022,"July"
"112",7008,-0.0607720530792536,"Evaporation anomaly",2022-08-01,2022,"August"
"113",7008,-0.142192799728978,"Evaporation anomaly",2022-09-01,2022,"September"
"114",7008,0.339737065685764,"Evaporation anomaly",2022-10-01,2022,"October"
