"","FID","value","parameter","date","year","month"
"1",0,0.0955130881238169,"Evaporation anomaly",2022-04-01,2022,"April"
"2",1,0.103249952197075,"Evaporation anomaly",2022-04-01,2022,"April"
"3",2,0.0980022685199681,"Evaporation anomaly",2022-04-01,2022,"April"
"4",3,0.0688851773738861,"Evaporation anomaly",2022-04-01,2022,"April"
"5",4,0.0685666436376787,"Evaporation anomaly",2022-04-01,2022,"April"
"6",5,0.0263664983212948,"Evaporation anomaly",2022-04-01,2022,"April"
"7",6,0.00272389387491164,"Evaporation anomaly",2022-04-01,2022,"April"
"8",7,0.00058850907953456,"Evaporation anomaly",2022-04-01,2022,"April"
"9",8,-0.013102432926843,"Evaporation anomaly",2022-04-01,2022,"April"
"10",9,-0.0150006003677845,"Evaporation anomaly",2022-04-01,2022,"April"
"11",10,-0.0272891901840093,"Evaporation anomaly",2022-04-01,2022,"April"
"12",11,-0.0296919196844101,"Evaporation anomaly",2022-04-01,2022,"April"
"13",12,0.0126730260857424,"Evaporation anomaly",2022-04-01,2022,"April"
"14",13,0.0209938045591116,"Evaporation anomaly",2022-04-01,2022,"April"
"15",14,0.078429317073627,"Evaporation anomaly",2022-04-01,2022,"April"
"16",15,0.0936067774891853,"Evaporation anomaly",2022-04-01,2022,"April"
"17",16,0.101226332493692,"Evaporation anomaly",2022-04-01,2022,"April"
"18",17,0.103249952197075,"Evaporation anomaly",2022-04-01,2022,"April"
"19",18,0.0777436689522214,"Evaporation anomaly",2022-04-01,2022,"April"
"20",19,0.0688851773738861,"Evaporation anomaly",2022-04-01,2022,"April"
"21",20,0.0673228288946837,"Evaporation anomaly",2022-04-01,2022,"April"
"22",21,0.0667771548032761,"Evaporation anomaly",2022-04-01,2022,"April"
"23",22,0.074612967528487,"Evaporation anomaly",2022-04-01,2022,"April"
"24",23,-0.447922431456828,"Evaporation anomaly",2022-04-01,2022,"April"
"25",24,-0.391467907776581,"Evaporation anomaly",2022-04-01,2022,"April"
"26",25,-0.329245912956559,"Evaporation anomaly",2022-04-01,2022,"April"
"27",26,-0.283899013672755,"Evaporation anomaly",2022-04-01,2022,"April"
"28",27,-0.234479364411045,"Evaporation anomaly",2022-04-01,2022,"April"
"29",28,-0.178751946412535,"Evaporation anomaly",2022-04-01,2022,"April"
"30",29,-0.103436234857289,"Evaporation anomaly",2022-04-01,2022,"April"
"31",30,-0.0752716176606498,"Evaporation anomaly",2022-04-01,2022,"April"
"32",31,-0.0365620923058766,"Evaporation anomaly",2022-04-01,2022,"April"
"33",32,-0.0302950107723898,"Evaporation anomaly",2022-04-01,2022,"April"
"34",33,-0.020257742455998,"Evaporation anomaly",2022-04-01,2022,"April"
"35",34,-0.0268081815854378,"Evaporation anomaly",2022-04-01,2022,"April"
"36",35,-0.0386778993494037,"Evaporation anomaly",2022-04-01,2022,"April"
"37",36,-0.0441499462146391,"Evaporation anomaly",2022-04-01,2022,"April"
"38",37,-0.0564259629039358,"Evaporation anomaly",2022-04-01,2022,"April"
"39",38,-0.062601628635568,"Evaporation anomaly",2022-04-01,2022,"April"
"40",39,-0.0800426977953606,"Evaporation anomaly",2022-04-01,2022,"April"
"41",40,-0.0783984014452412,"Evaporation anomaly",2022-04-01,2022,"April"
"42",41,-0.0720406406183797,"Evaporation anomaly",2022-04-01,2022,"April"
"43",42,-0.0541643093630386,"Evaporation anomaly",2022-04-01,2022,"April"
"44",43,0.00690074559510475,"Evaporation anomaly",2022-04-01,2022,"April"
"45",44,0.0126153450661405,"Evaporation anomaly",2022-04-01,2022,"April"
"46",45,0.0289744371106087,"Evaporation anomaly",2022-04-01,2022,"April"
"47",46,0.0262711202052518,"Evaporation anomaly",2022-04-01,2022,"April"
"48",47,0.00720543006461908,"Evaporation anomaly",2022-04-01,2022,"April"
"49",48,0.0128259500289044,"Evaporation anomaly",2022-04-01,2022,"April"
"50",49,0.0331837649794777,"Evaporation anomaly",2022-04-01,2022,"April"
"51",50,0.0404200747109388,"Evaporation anomaly",2022-04-01,2022,"April"
"52",51,0.0817988822994725,"Evaporation anomaly",2022-04-01,2022,"April"
"53",52,-0.817281484603882,"Evaporation anomaly",2022-04-01,2022,"April"
"54",53,-0.818817933546102,"Evaporation anomaly",2022-04-01,2022,"April"
"55",54,-0.847655475139618,"Evaporation anomaly",2022-04-01,2022,"April"
"56",55,-0.846149752083074,"Evaporation anomaly",2022-04-01,2022,"April"
"57",56,-0.818423271179199,"Evaporation anomaly",2022-04-01,2022,"April"
"58",57,-0.815214324765656,"Evaporation anomaly",2022-04-01,2022,"April"
"59",58,-0.649975121021271,"Evaporation anomaly",2022-04-01,2022,"April"
"60",59,-0.646244631526455,"Evaporation anomaly",2022-04-01,2022,"April"
"61",60,-0.46211975812912,"Evaporation anomaly",2022-04-01,2022,"April"
"62",61,-0.46211975812912,"Evaporation anomaly",2022-04-01,2022,"April"
"63",62,-0.353229130626073,"Evaporation anomaly",2022-04-01,2022,"April"
"64",63,-0.352096855640411,"Evaporation anomaly",2022-04-01,2022,"April"
"65",64,-0.256323308565706,"Evaporation anomaly",2022-04-01,2022,"April"
"66",65,-0.255403429269791,"Evaporation anomaly",2022-04-01,2022,"April"
"67",66,-0.120261754577157,"Evaporation anomaly",2022-04-01,2022,"April"
"68",67,-0.11445327848196,"Evaporation anomaly",2022-04-01,2022,"April"
"69",68,-0.0511177989214152,"Evaporation anomaly",2022-04-01,2022,"April"
"70",69,-0.0484513379633427,"Evaporation anomaly",2022-04-01,2022,"April"
"71",70,-0.0314128825365729,"Evaporation anomaly",2022-04-01,2022,"April"
"72",71,-0.0300378073006868,"Evaporation anomaly",2022-04-01,2022,"April"
"73",72,-0.0464577435385695,"Evaporation anomaly",2022-04-01,2022,"April"
"74",73,-0.0477678850293159,"Evaporation anomaly",2022-04-01,2022,"April"
"75",74,-0.0649353272015536,"Evaporation anomaly",2022-04-01,2022,"April"
"76",75,-0.067075677216053,"Evaporation anomaly",2022-04-01,2022,"April"
"77",76,-0.0903658251799368,"Evaporation anomaly",2022-04-01,2022,"April"
