"","FID","value","parameter","date","year","month"
"1",0,-0.248801796588731,"Evaporation anomaly",2022-08-01,2022,"August"
"2",1,-0.226257115602493,"Evaporation anomaly",2022-08-01,2022,"August"
"3",2,-0.223539201739785,"Evaporation anomaly",2022-08-01,2022,"August"
"4",3,-0.208458691835403,"Evaporation anomaly",2022-08-01,2022,"August"
"5",4,-0.202918960390908,"Evaporation anomaly",2022-08-01,2022,"August"
"6",5,-0.228801473975182,"Evaporation anomaly",2022-08-01,2022,"August"
"7",6,-0.288638229676212,"Evaporation anomaly",2022-08-01,2022,"August"
"8",7,-0.294042646884918,"Evaporation anomaly",2022-08-01,2022,"August"
"9",8,-0.234060267694656,"Evaporation anomaly",2022-08-01,2022,"August"
"10",9,-0.225744068622589,"Evaporation anomaly",2022-08-01,2022,"August"
"11",10,-0.247942179465287,"Evaporation anomaly",2022-08-01,2022,"August"
"12",11,-0.252282470464706,"Evaporation anomaly",2022-08-01,2022,"August"
"13",12,-0.276371416047572,"Evaporation anomaly",2022-08-01,2022,"August"
"14",13,-0.281102657318115,"Evaporation anomaly",2022-08-01,2022,"August"
"15",14,-0.259947064418424,"Evaporation anomaly",2022-08-01,2022,"August"
"16",15,-0.254356652498245,"Evaporation anomaly",2022-08-01,2022,"August"
"17",16,-0.23215380193668,"Evaporation anomaly",2022-08-01,2022,"August"
"18",17,-0.226257115602493,"Evaporation anomaly",2022-08-01,2022,"August"
"19",18,-0.213046738399352,"Evaporation anomaly",2022-08-01,2022,"August"
"20",19,-0.208458691835403,"Evaporation anomaly",2022-08-01,2022,"August"
"21",20,-0.181287343831427,"Evaporation anomaly",2022-08-01,2022,"August"
"22",21,-0.171797335147858,"Evaporation anomaly",2022-08-01,2022,"August"
"23",22,-0.159177447019011,"Evaporation anomaly",2022-08-01,2022,"August"
"24",23,-0.0112611591122392,"Evaporation anomaly",2022-08-01,2022,"August"
"25",24,0.00108677624563175,"Evaporation anomaly",2022-08-01,2022,"August"
"26",25,0.0140937638863267,"Evaporation anomaly",2022-08-01,2022,"August"
"27",26,0.0161671729736586,"Evaporation anomaly",2022-08-01,2022,"August"
"28",27,0.0179359163327319,"Evaporation anomaly",2022-08-01,2022,"August"
"29",28,-0.0248395030667276,"Evaporation anomaly",2022-08-01,2022,"August"
"30",29,-0.0830699325302334,"Evaporation anomaly",2022-08-01,2022,"August"
"31",30,-0.116391073920363,"Evaporation anomaly",2022-08-01,2022,"August"
"32",31,-0.161202025124116,"Evaporation anomaly",2022-08-01,2022,"August"
"33",32,-0.190275296683693,"Evaporation anomaly",2022-08-01,2022,"August"
