"","FID","value","parameter","date","year","month"
"1",0,-0.207597217107796,"Evaporation anomaly",2022-12-01,2022,"December"
"2",1,-0.214772373437881,"Evaporation anomaly",2022-12-01,2022,"December"
"3",2,-0.218629241097481,"Evaporation anomaly",2022-12-01,2022,"December"
"4",3,-0.24002930521965,"Evaporation anomaly",2022-12-01,2022,"December"
"5",4,-0.242667177147231,"Evaporation anomaly",2022-12-01,2022,"December"
"6",5,-0.171503022313118,"Evaporation anomaly",2022-12-01,2022,"December"
"7",6,-0.207307924019488,"Evaporation anomaly",2022-12-01,2022,"December"
"8",7,-0.210541799664497,"Evaporation anomaly",2022-12-01,2022,"December"
"9",8,-0.221058215295172,"Evaporation anomaly",2022-12-01,2022,"December"
"10",9,-0.222516253590584,"Evaporation anomaly",2022-12-01,2022,"December"
"11",10,-0.224167985323638,"Evaporation anomaly",2022-12-01,2022,"December"
"12",11,-0.224490940570831,"Evaporation anomaly",2022-12-01,2022,"December"
"13",12,-0.220554922768122,"Evaporation anomaly",2022-12-01,2022,"December"
"14",13,-0.21978186070919,"Evaporation anomaly",2022-12-01,2022,"December"
"15",14,-0.208745650294705,"Evaporation anomaly",2022-12-01,2022,"December"
"16",15,-0.205829307436943,"Evaporation anomaly",2022-12-01,2022,"December"
"17",16,-0.212895671509693,"Evaporation anomaly",2022-12-01,2022,"December"
"18",17,-0.214772373437881,"Evaporation anomaly",2022-12-01,2022,"December"
"19",18,-0.233518617498443,"Evaporation anomaly",2022-12-01,2022,"December"
"20",19,-0.24002930521965,"Evaporation anomaly",2022-12-01,2022,"December"
"21",20,-0.252967574313078,"Evaporation anomaly",2022-12-01,2022,"December"
"22",21,-0.257486462593079,"Evaporation anomaly",2022-12-01,2022,"December"
"23",22,-0.25746308054806,"Evaporation anomaly",2022-12-01,2022,"December"
"24",23,0.00602704352703181,"Evaporation anomaly",2022-12-01,2022,"December"
"25",24,-0.00980545620159011,"Evaporation anomaly",2022-12-01,2022,"December"
"26",25,-0.0271297641239949,"Evaporation anomaly",2022-12-01,2022,"December"
"27",26,-0.0456126470761174,"Evaporation anomaly",2022-12-01,2022,"December"
"28",27,-0.0657264128497454,"Evaporation anomaly",2022-12-01,2022,"December"
"29",28,-0.0689180012085375,"Evaporation anomaly",2022-12-01,2022,"December"
"30",29,-0.0735976736710746,"Evaporation anomaly",2022-12-01,2022,"December"
"31",30,-0.0850739721435723,"Evaporation anomaly",2022-12-01,2022,"December"
"32",31,-0.100875240125193,"Evaporation anomaly",2022-12-01,2022,"December"
"33",32,-0.117688714515516,"Evaporation anomaly",2022-12-01,2022,"December"
"34",33,-0.147104880696435,"Evaporation anomaly",2022-12-01,2022,"December"
"35",34,-0.165064705002005,"Evaporation anomaly",2022-12-01,2022,"December"
"36",35,-0.195709199995686,"Evaporation anomaly",2022-12-01,2022,"December"
"37",36,-0.204657298030194,"Evaporation anomaly",2022-12-01,2022,"December"
"38",37,-0.223297997894875,"Evaporation anomaly",2022-12-01,2022,"December"
"39",38,-0.224804857041614,"Evaporation anomaly",2022-12-01,2022,"December"
"40",39,-0.228798773317624,"Evaporation anomaly",2022-12-01,2022,"December"
"41",40,-0.226771764066302,"Evaporation anomaly",2022-12-01,2022,"December"
"42",41,-0.221373721848868,"Evaporation anomaly",2022-12-01,2022,"December"
"43",42,-0.219744445668572,"Evaporation anomaly",2022-12-01,2022,"December"
"44",43,-0.21342187173071,"Evaporation anomaly",2022-12-01,2022,"December"
"45",44,-0.215086287414375,"Evaporation anomaly",2022-12-01,2022,"December"
"46",45,-0.221493076793072,"Evaporation anomaly",2022-12-01,2022,"December"
"47",46,-0.22497305220755,"Evaporation anomaly",2022-12-01,2022,"December"
"48",47,-0.242608351925993,"Evaporation anomaly",2022-12-01,2022,"December"
