"","FID","value","parameter","date","year","month"
"1",0,-0.417809406316979,"Evaporation anomaly",2022-02-01,2022,"February"
"2",1,-0.410609275102615,"Evaporation anomaly",2022-02-01,2022,"February"
"3",2,-0.391412338240166,"Evaporation anomaly",2022-02-01,2022,"February"
"4",3,-0.284896969795227,"Evaporation anomaly",2022-02-01,2022,"February"
"5",4,-0.267729085131318,"Evaporation anomaly",2022-02-01,2022,"February"
"6",5,-0.264543771743774,"Evaporation anomaly",2022-02-01,2022,"February"
"7",6,-0.188322316430891,"Evaporation anomaly",2022-02-01,2022,"February"
"8",7,-0.18143804371357,"Evaporation anomaly",2022-02-01,2022,"February"
"9",8,-0.165412874247625,"Evaporation anomaly",2022-02-01,2022,"February"
"10",9,-0.163191080093384,"Evaporation anomaly",2022-02-01,2022,"February"
"11",10,-0.178559094068382,"Evaporation anomaly",2022-02-01,2022,"February"
"12",11,-0.181563928723335,"Evaporation anomaly",2022-02-01,2022,"February"
"13",12,-0.27737514437604,"Evaporation anomaly",2022-02-01,2022,"February"
"14",13,-0.296193152666092,"Evaporation anomaly",2022-02-01,2022,"February"
"15",14,-0.393792600920805,"Evaporation anomaly",2022-02-01,2022,"February"
"16",15,-0.419583469629288,"Evaporation anomaly",2022-02-01,2022,"February"
"17",16,-0.412492509350286,"Evaporation anomaly",2022-02-01,2022,"February"
"18",17,-0.410609275102615,"Evaporation anomaly",2022-02-01,2022,"February"
"19",18,-0.317302868090453,"Evaporation anomaly",2022-02-01,2022,"February"
"20",19,-0.284896969795227,"Evaporation anomaly",2022-02-01,2022,"February"
"21",20,-0.200691702198959,"Evaporation anomaly",2022-02-01,2022,"February"
"22",21,-0.171281725168228,"Evaporation anomaly",2022-02-01,2022,"February"
"23",22,-0.114181203175601,"Evaporation anomaly",2022-02-01,2022,"February"
"24",23,0.230678082495317,"Evaporation anomaly",2022-02-01,2022,"February"
"25",24,0.211230528081268,"Evaporation anomaly",2022-02-01,2022,"February"
"26",25,0.189895577784884,"Evaporation anomaly",2022-02-01,2022,"February"
"27",26,0.1624125424108,"Evaporation anomaly",2022-02-01,2022,"February"
"28",27,0.131953678561596,"Evaporation anomaly",2022-02-01,2022,"February"
"29",28,0.103915742290568,"Evaporation anomaly",2022-02-01,2022,"February"
"30",29,0.063581860113485,"Evaporation anomaly",2022-02-01,2022,"February"
"31",30,0.0158295249462906,"Evaporation anomaly",2022-02-01,2022,"February"
"32",31,-0.0505248410348438,"Evaporation anomaly",2022-02-01,2022,"February"
"33",32,-0.0439253722594607,"Evaporation anomaly",2022-02-01,2022,"February"
"34",33,-0.0311674818590174,"Evaporation anomaly",2022-02-01,2022,"February"
"35",34,-0.00577809962138887,"Evaporation anomaly",2022-02-01,2022,"February"
"36",35,0.0398516966084539,"Evaporation anomaly",2022-02-01,2022,"February"
"37",36,0.0245797000274631,"Evaporation anomaly",2022-02-01,2022,"February"
"38",37,-0.00342225237502706,"Evaporation anomaly",2022-02-01,2022,"February"
"39",38,-0.0244743204281347,"Evaporation anomaly",2022-02-01,2022,"February"
"40",39,-0.0767459016007044,"Evaporation anomaly",2022-02-01,2022,"February"
"41",40,-0.100632127721413,"Evaporation anomaly",2022-02-01,2022,"February"
"42",41,-0.166838378238058,"Evaporation anomaly",2022-02-01,2022,"February"
"43",42,-0.194202550530837,"Evaporation anomaly",2022-02-01,2022,"February"
"44",43,-0.288991786091333,"Evaporation anomaly",2022-02-01,2022,"February"
"45",44,-0.289338410558357,"Evaporation anomaly",2022-02-01,2022,"February"
"46",45,-0.285046091505194,"Evaporation anomaly",2022-02-01,2022,"February"
"47",46,-0.263871125407191,"Evaporation anomaly",2022-02-01,2022,"February"
"48",47,-0.153655521171489,"Evaporation anomaly",2022-02-01,2022,"February"
"49",48,-0.149588908584604,"Evaporation anomaly",2022-02-01,2022,"February"
"50",49,-0.11407500902674,"Evaporation anomaly",2022-02-01,2022,"February"
"51",50,-0.110657018899393,"Evaporation anomaly",2022-02-01,2022,"February"
"52",51,-0.0764073519409099,"Evaporation anomaly",2022-02-01,2022,"February"
"53",52,0.440288901329041,"Evaporation anomaly",2022-02-01,2022,"February"
"54",53,0.437015577135197,"Evaporation anomaly",2022-02-01,2022,"February"
"55",54,0.375578701496124,"Evaporation anomaly",2022-02-01,2022,"February"
"56",55,0.372252181371282,"Evaporation anomaly",2022-02-01,2022,"February"
"57",56,0.310997426509857,"Evaporation anomaly",2022-02-01,2022,"February"
"58",57,0.31023637602063,"Evaporation anomaly",2022-02-01,2022,"February"
"59",58,0.271047383546829,"Evaporation anomaly",2022-02-01,2022,"February"
"60",59,0.270483141521574,"Evaporation anomaly",2022-02-01,2022,"February"
"61",60,0.242633983492851,"Evaporation anomaly",2022-02-01,2022,"February"
"62",61,0.242633983492851,"Evaporation anomaly",2022-02-01,2022,"February"
"63",62,0.203159819942743,"Evaporation anomaly",2022-02-01,2022,"February"
"64",63,0.202749356627464,"Evaporation anomaly",2022-02-01,2022,"February"
"65",64,0.153793928653818,"Evaporation anomaly",2022-02-01,2022,"February"
"66",65,0.153323724865913,"Evaporation anomaly",2022-02-01,2022,"February"
"67",66,0.102285529079765,"Evaporation anomaly",2022-02-01,2022,"February"
"68",67,0.100091874599457,"Evaporation anomaly",2022-02-01,2022,"February"
"69",68,-6.32427855384708e-06,"Evaporation anomaly",2022-02-01,2022,"February"
"70",69,-0.0042205173522234,"Evaporation anomaly",2022-02-01,2022,"February"
"71",70,0.0161429336913614,"Evaporation anomaly",2022-02-01,2022,"February"
"72",71,0.0177863501012325,"Evaporation anomaly",2022-02-01,2022,"February"
"73",72,0.0856633300782332,"Evaporation anomaly",2022-02-01,2022,"February"
"74",73,0.0910792127251625,"Evaporation anomaly",2022-02-01,2022,"February"
"75",74,0.0435741285860177,"Evaporation anomaly",2022-02-01,2022,"February"
"76",75,0.0376514345407486,"Evaporation anomaly",2022-02-01,2022,"February"
"77",76,-0.033974475595177,"Evaporation anomaly",2022-02-01,2022,"February"
"78",77,-0.04666518419981,"Evaporation anomaly",2022-02-01,2022,"February"
"79",78,-0.113453278531523,"Evaporation anomaly",2022-02-01,2022,"February"
"80",79,-0.125219568610191,"Evaporation anomaly",2022-02-01,2022,"February"
"81",80,-0.219326772189966,"Evaporation anomaly",2022-02-01,2022,"February"
"82",81,-0.24172006547451,"Evaporation anomaly",2022-02-01,2022,"February"
"83",82,-0.235270564099723,"Evaporation anomaly",2022-02-01,2022,"February"
"84",83,-0.233741819858551,"Evaporation anomaly",2022-02-01,2022,"February"
"85",84,-0.126283815334958,"Evaporation anomaly",2022-02-01,2022,"February"
"86",85,-0.0929328128695488,"Evaporation anomaly",2022-02-01,2022,"February"
"87",86,-0.0861165197208855,"Evaporation anomaly",2022-02-01,2022,"February"
"88",87,-0.084006279706955,"Evaporation anomaly",2022-02-01,2022,"February"
"89",88,-0.0733729123524055,"Evaporation anomaly",2022-02-01,2022,"February"
"90",89,-0.0691438689827919,"Evaporation anomaly",2022-02-01,2022,"February"
"91",90,0.493561156967462,"Evaporation anomaly",2022-02-01,2022,"February"
"92",91,0.460372582029736,"Evaporation anomaly",2022-02-01,2022,"February"
"93",92,0.441999886024214,"Evaporation anomaly",2022-02-01,2022,"February"
"94",93,0.406763220225224,"Evaporation anomaly",2022-02-01,2022,"February"
"95",94,0.382116013115193,"Evaporation anomaly",2022-02-01,2022,"February"
"96",95,0.34367379384739,"Evaporation anomaly",2022-02-01,2022,"February"
"97",96,0.31720857823344,"Evaporation anomaly",2022-02-01,2022,"February"
"98",97,0.297362504836928,"Evaporation anomaly",2022-02-01,2022,"February"
"99",98,0.280186083460712,"Evaporation anomaly",2022-02-01,2022,"February"
"100",99,0.264526647882689,"Evaporation anomaly",2022-02-01,2022,"February"
"101",100,0.251151612483751,"Evaporation anomaly",2022-02-01,2022,"February"
"102",101,0.234316632365049,"Evaporation anomaly",2022-02-01,2022,"February"
"103",102,0.216221263195379,"Evaporation anomaly",2022-02-01,2022,"February"
"104",103,0.196522951743416,"Evaporation anomaly",2022-02-01,2022,"February"
"105",104,0.175498513416316,"Evaporation anomaly",2022-02-01,2022,"February"
"106",105,0.159118578219752,"Evaporation anomaly",2022-02-01,2022,"February"
"107",106,0.137807151287401,"Evaporation anomaly",2022-02-01,2022,"February"
"108",107,0.0958168039030219,"Evaporation anomaly",2022-02-01,2022,"February"
"109",108,0.0407596983076679,"Evaporation anomaly",2022-02-01,2022,"February"
"110",109,0.0494897468557857,"Evaporation anomaly",2022-02-01,2022,"February"
"111",110,0.0650146248225314,"Evaporation anomaly",2022-02-01,2022,"February"
"112",111,0.0829270881096,"Evaporation anomaly",2022-02-01,2022,"February"
"113",112,0.11143054461111,"Evaporation anomaly",2022-02-01,2022,"February"
"114",113,0.091225940833433,"Evaporation anomaly",2022-02-01,2022,"February"
"115",114,0.0496622158573075,"Evaporation anomaly",2022-02-01,2022,"February"
"116",115,0.0265070003238883,"Evaporation anomaly",2022-02-01,2022,"February"
"117",116,-0.0311362172506976,"Evaporation anomaly",2022-02-01,2022,"February"
"118",117,-0.0530438165342808,"Evaporation anomaly",2022-02-01,2022,"February"
"119",118,-0.106012396454811,"Evaporation anomaly",2022-02-01,2022,"February"
"120",119,-0.134105971863463,"Evaporation anomaly",2022-02-01,2022,"February"
