"","FID","value","parameter","date","year","month"
"1",0,-1.02861904027768,"Evaporation anomaly",2022-01-01,2022,"January"
"2",1,-1.03497684001923,"Evaporation anomaly",2022-01-01,2022,"January"
"3",2,-1.02393194723199,"Evaporation anomaly",2022-01-01,2022,"January"
"4",3,-0.962648689746857,"Evaporation anomaly",2022-01-01,2022,"January"
"5",4,-0.958080440376779,"Evaporation anomaly",2022-01-01,2022,"January"
"6",5,-0.647023916244507,"Evaporation anomaly",2022-01-01,2022,"January"
"7",6,-0.685820422717228,"Evaporation anomaly",2022-01-01,2022,"January"
"8",7,-0.689324498176575,"Evaporation anomaly",2022-01-01,2022,"January"
"9",8,-0.833355075312805,"Evaporation anomaly",2022-01-01,2022,"January"
"10",9,-0.853324055671692,"Evaporation anomaly",2022-01-01,2022,"January"
"11",10,-0.86352593180647,"Evaporation anomaly",2022-01-01,2022,"January"
"12",11,-0.865520656108856,"Evaporation anomaly",2022-01-01,2022,"January"
"13",12,-0.900348312617905,"Evaporation anomaly",2022-01-01,2022,"January"
"14",13,-0.907188713550568,"Evaporation anomaly",2022-01-01,2022,"January"
"15",14,-1.0019987588569,"Evaporation anomaly",2022-01-01,2022,"January"
"16",15,-1.02705252170563,"Evaporation anomaly",2022-01-01,2022,"January"
"17",16,-1.03331392223945,"Evaporation anomaly",2022-01-01,2022,"January"
"18",17,-1.03497684001923,"Evaporation anomaly",2022-01-01,2022,"January"
"19",18,-0.981293313881917,"Evaporation anomaly",2022-01-01,2022,"January"
"20",19,-0.962648689746857,"Evaporation anomaly",2022-01-01,2022,"January"
"21",20,-0.940242279860927,"Evaporation anomaly",2022-01-01,2022,"January"
"22",21,-0.932416498661041,"Evaporation anomaly",2022-01-01,2022,"January"
"23",22,-0.923422698896273,"Evaporation anomaly",2022-01-01,2022,"January"
"24",23,-0.725099992042392,"Evaporation anomaly",2022-01-01,2022,"January"
"25",24,-0.682911352902411,"Evaporation anomaly",2022-01-01,2022,"January"
"26",25,-0.637364610810642,"Evaporation anomaly",2022-01-01,2022,"January"
"27",26,-0.555677203351157,"Evaporation anomaly",2022-01-01,2022,"January"
"28",27,-0.467449326082019,"Evaporation anomaly",2022-01-01,2022,"January"
"29",28,-0.476011772920421,"Evaporation anomaly",2022-01-01,2022,"January"
"30",29,-0.48839834702339,"Evaporation anomaly",2022-01-01,2022,"January"
"31",30,-0.499324607061381,"Evaporation anomaly",2022-01-01,2022,"January"
"32",31,-0.514556259598779,"Evaporation anomaly",2022-01-01,2022,"January"
