"","FID","value","parameter","date","year","month"
"1",0,-0.234221344653839,"Evaporation anomaly",2022-07-01,2022,"July"
"2",1,-0.219209060072899,"Evaporation anomaly",2022-07-01,2022,"July"
"3",2,-0.217893587688104,"Evaporation anomaly",2022-07-01,2022,"July"
"4",3,-0.210594609379768,"Evaporation anomaly",2022-07-01,2022,"July"
"5",4,-0.208427198813332,"Evaporation anomaly",2022-07-01,2022,"July"
"6",5,-0.237953990697861,"Evaporation anomaly",2022-07-01,2022,"July"
"7",6,-0.275522509123902,"Evaporation anomaly",2022-07-01,2022,"July"
"8",7,-0.278915673494339,"Evaporation anomaly",2022-07-01,2022,"July"
"9",8,-0.219559927632487,"Evaporation anomaly",2022-07-01,2022,"July"
"10",9,-0.211330607533455,"Evaporation anomaly",2022-07-01,2022,"July"
"11",10,-0.230024757195317,"Evaporation anomaly",2022-07-01,2022,"July"
"12",11,-0.233679935336113,"Evaporation anomaly",2022-07-01,2022,"July"
"13",12,-0.255181208369546,"Evaporation anomaly",2022-07-01,2022,"July"
"14",13,-0.259404212236404,"Evaporation anomaly",2022-07-01,2022,"July"
"15",14,-0.242410812578354,"Evaporation anomaly",2022-07-01,2022,"July"
"16",15,-0.237920269370079,"Evaporation anomaly",2022-07-01,2022,"July"
"17",16,-0.22313560635614,"Evaporation anomaly",2022-07-01,2022,"July"
"18",17,-0.219209060072899,"Evaporation anomaly",2022-07-01,2022,"July"
"19",18,-0.21281522741989,"Evaporation anomaly",2022-07-01,2022,"July"
"20",19,-0.210594609379768,"Evaporation anomaly",2022-07-01,2022,"July"
"21",20,-0.199963865388259,"Evaporation anomaly",2022-07-01,2022,"July"
"22",21,-0.196250915527344,"Evaporation anomaly",2022-07-01,2022,"July"
"23",22,-0.184333187948292,"Evaporation anomaly",2022-07-01,2022,"July"
"24",23,-0.0208578497901762,"Evaporation anomaly",2022-07-01,2022,"July"
"25",24,-0.0098480932062637,"Evaporation anomaly",2022-07-01,2022,"July"
"26",25,0.0017836273889779,"Evaporation anomaly",2022-07-01,2022,"July"
"27",26,0.00286865165241182,"Evaporation anomaly",2022-07-01,2022,"July"
"28",27,0.00357439686983236,"Evaporation anomaly",2022-07-01,2022,"July"
"29",28,-0.0284761434364841,"Evaporation anomaly",2022-07-01,2022,"July"
"30",29,-0.0723487157070298,"Evaporation anomaly",2022-07-01,2022,"July"
"31",30,-0.106357598438156,"Evaporation anomaly",2022-07-01,2022,"July"
"32",31,-0.151890258938133,"Evaporation anomaly",2022-07-01,2022,"July"
"33",32,-0.181683292128767,"Evaporation anomaly",2022-07-01,2022,"July"
"34",33,-0.234842685182709,"Evaporation anomaly",2022-07-01,2022,"July"
"35",34,-0.250358659936745,"Evaporation anomaly",2022-07-01,2022,"July"
"36",35,-0.277187906483843,"Evaporation anomaly",2022-07-01,2022,"July"
"37",36,-0.279692920842527,"Evaporation anomaly",2022-07-01,2022,"July"
"38",37,-0.281386971448438,"Evaporation anomaly",2022-07-01,2022,"July"
"39",38,-0.279666440123554,"Evaporation anomaly",2022-07-01,2022,"July"
"40",39,-0.27786762311606,"Evaporation anomaly",2022-07-01,2022,"July"
"41",40,-0.272964676328698,"Evaporation anomaly",2022-07-01,2022,"July"
"42",41,-0.262855553972935,"Evaporation anomaly",2022-07-01,2022,"July"
"43",42,-0.255480879416671,"Evaporation anomaly",2022-07-01,2022,"July"
"44",43,-0.22977049019107,"Evaporation anomaly",2022-07-01,2022,"July"
"45",44,-0.224127230354276,"Evaporation anomaly",2022-07-01,2022,"July"
"46",45,-0.203874162245623,"Evaporation anomaly",2022-07-01,2022,"July"
"47",46,-0.20093130796124,"Evaporation anomaly",2022-07-01,2022,"July"
"48",47,-0.18644826472586,"Evaporation anomaly",2022-07-01,2022,"July"
"49",48,-0.186425076477856,"Evaporation anomaly",2022-07-01,2022,"July"
"50",49,-0.18358076827474,"Evaporation anomaly",2022-07-01,2022,"July"
"51",50,-0.184292235029154,"Evaporation anomaly",2022-07-01,2022,"July"
"52",51,-0.185786521716996,"Evaporation anomaly",2022-07-01,2022,"July"
"53",52,-0.0420334935188293,"Evaporation anomaly",2022-07-01,2022,"July"
"54",53,-0.0419552215425183,"Evaporation anomaly",2022-07-01,2022,"July"
"55",54,-0.0404861383140087,"Evaporation anomaly",2022-07-01,2022,"July"
"56",55,-0.0402864963027372,"Evaporation anomaly",2022-07-01,2022,"July"
"57",56,-0.0366102755069733,"Evaporation anomaly",2022-07-01,2022,"July"
"58",57,-0.0365883042710917,"Evaporation anomaly",2022-07-01,2022,"July"
"59",58,-0.0354569330811501,"Evaporation anomaly",2022-07-01,2022,"July"
"60",59,-0.0354005157141879,"Evaporation anomaly",2022-07-01,2022,"July"
