"","FID","value","parameter","date","year","month"
"1",0,-0.448285735166314,"Evaporation anomaly",2022-06-01,2022,"June"
"2",1,-0.444242984056473,"Evaporation anomaly",2022-06-01,2022,"June"
"3",2,-0.446300433418498,"Evaporation anomaly",2022-06-01,2022,"June"
"4",3,-0.457716315984726,"Evaporation anomaly",2022-06-01,2022,"June"
"5",4,-0.455867412134733,"Evaporation anomaly",2022-06-01,2022,"June"
"6",5,-0.451574802398682,"Evaporation anomaly",2022-06-01,2022,"June"
"7",6,-0.488265038495649,"Evaporation anomaly",2022-06-01,2022,"June"
"8",7,-0.491578876972198,"Evaporation anomaly",2022-06-01,2022,"June"
"9",8,-0.423068379769456,"Evaporation anomaly",2022-06-01,2022,"June"
"10",9,-0.413569808006287,"Evaporation anomaly",2022-06-01,2022,"June"
"11",10,-0.444409188377675,"Evaporation anomaly",2022-06-01,2022,"June"
"12",11,-0.450439065694809,"Evaporation anomaly",2022-06-01,2022,"June"
"13",12,-0.472369448253738,"Evaporation anomaly",2022-06-01,2022,"June"
"14",13,-0.476676732301712,"Evaporation anomaly",2022-06-01,2022,"June"
"15",14,-0.455007882659055,"Evaporation anomaly",2022-06-01,2022,"June"
"16",15,-0.449281841516495,"Evaporation anomaly",2022-06-01,2022,"June"
"17",16,-0.445300388028455,"Evaporation anomaly",2022-06-01,2022,"June"
"18",17,-0.444242984056473,"Evaporation anomaly",2022-06-01,2022,"June"
"19",18,-0.454243184033982,"Evaporation anomaly",2022-06-01,2022,"June"
"20",19,-0.457716315984726,"Evaporation anomaly",2022-06-01,2022,"June"
"21",20,-0.448647787945527,"Evaporation anomaly",2022-06-01,2022,"June"
"22",21,-0.445480465888977,"Evaporation anomaly",2022-06-01,2022,"June"
"23",22,-0.450490516316084,"Evaporation anomaly",2022-06-01,2022,"June"
"24",23,-0.141163003615899,"Evaporation anomaly",2022-06-01,2022,"June"
"25",24,-0.139195838051313,"Evaporation anomaly",2022-06-01,2022,"June"
"26",25,-0.137125841306233,"Evaporation anomaly",2022-06-01,2022,"June"
"27",26,-0.165663042069447,"Evaporation anomaly",2022-06-01,2022,"June"
"28",27,-0.197155037548106,"Evaporation anomaly",2022-06-01,2022,"June"
"29",28,-0.237581580800754,"Evaporation anomaly",2022-06-01,2022,"June"
"30",29,-0.292783729861389,"Evaporation anomaly",2022-06-01,2022,"June"
"31",30,-0.326842668281375,"Evaporation anomaly",2022-06-01,2022,"June"
"32",31,-0.37259469359141,"Evaporation anomaly",2022-06-01,2022,"June"
"33",32,-0.403681591970717,"Evaporation anomaly",2022-06-01,2022,"June"
"34",33,-0.460469800122918,"Evaporation anomaly",2022-06-01,2022,"June"
"35",34,-0.472839472899792,"Evaporation anomaly",2022-06-01,2022,"June"
"36",35,-0.494555998975115,"Evaporation anomaly",2022-06-01,2022,"June"
"37",36,-0.498857702702722,"Evaporation anomaly",2022-06-01,2022,"June"
"38",37,-0.5037266933696,"Evaporation anomaly",2022-06-01,2022,"June"
"39",38,-0.504066838811753,"Evaporation anomaly",2022-06-01,2022,"June"
"40",39,-0.508796074935499,"Evaporation anomaly",2022-06-01,2022,"June"
"41",40,-0.504500607003823,"Evaporation anomaly",2022-06-01,2022,"June"
