"","FID","value","parameter","date","year","month"
"1",0,0.529694150433627,"Evaporation anomaly",2022-03-01,2022,"March"
"2",1,0.523055493831635,"Evaporation anomaly",2022-03-01,2022,"March"
"3",2,0.521571703712198,"Evaporation anomaly",2022-03-01,2022,"March"
"4",3,0.513338804244995,"Evaporation anomaly",2022-03-01,2022,"March"
"5",4,0.511949457030066,"Evaporation anomaly",2022-03-01,2022,"March"
"6",5,0.592077553272247,"Evaporation anomaly",2022-03-01,2022,"March"
"7",6,0.569188037577033,"Evaporation anomaly",2022-03-01,2022,"March"
"8",7,0.567120671272278,"Evaporation anomaly",2022-03-01,2022,"March"
"9",8,0.552544637999864,"Evaporation anomaly",2022-03-01,2022,"March"
"10",9,0.55052375793457,"Evaporation anomaly",2022-03-01,2022,"March"
"11",10,0.54626791162734,"Evaporation anomaly",2022-03-01,2022,"March"
"12",11,0.545435786247253,"Evaporation anomaly",2022-03-01,2022,"March"
"13",12,0.539989596352827,"Evaporation anomaly",2022-03-01,2022,"March"
"14",13,0.538919925689697,"Evaporation anomaly",2022-03-01,2022,"March"
"15",14,0.532916332831631,"Evaporation anomaly",2022-03-01,2022,"March"
"16",15,0.531329870223999,"Evaporation anomaly",2022-03-01,2022,"March"
"17",16,0.524791871280765,"Evaporation anomaly",2022-03-01,2022,"March"
"18",17,0.523055493831635,"Evaporation anomaly",2022-03-01,2022,"March"
"19",18,0.51584355550018,"Evaporation anomaly",2022-03-01,2022,"March"
"20",19,0.513338804244995,"Evaporation anomaly",2022-03-01,2022,"March"
"21",20,0.506524315663113,"Evaporation anomaly",2022-03-01,2022,"March"
"22",21,0.504144251346588,"Evaporation anomaly",2022-03-01,2022,"March"
"23",22,0.497494599277184,"Evaporation anomaly",2022-03-01,2022,"March"
"24",23,0.696086478301181,"Evaporation anomaly",2022-03-01,2022,"March"
"25",24,0.686208910786325,"Evaporation anomaly",2022-03-01,2022,"March"
"26",25,0.675474787664335,"Evaporation anomaly",2022-03-01,2022,"March"
"27",26,0.649365082191952,"Evaporation anomaly",2022-03-01,2022,"March"
"28",27,0.620970212052949,"Evaporation anomaly",2022-03-01,2022,"March"
"29",28,0.606435796537719,"Evaporation anomaly",2022-03-01,2022,"March"
"30",29,0.586895358551798,"Evaporation anomaly",2022-03-01,2022,"March"
"31",30,0.584971144763495,"Evaporation anomaly",2022-03-01,2022,"March"
"32",31,0.582095108862376,"Evaporation anomaly",2022-03-01,2022,"March"
"33",32,0.578090865008563,"Evaporation anomaly",2022-03-01,2022,"March"
"34",33,0.570930076421523,"Evaporation anomaly",2022-03-01,2022,"March"
"35",34,0.564165628917368,"Evaporation anomaly",2022-03-01,2022,"March"
"36",35,0.552097919221858,"Evaporation anomaly",2022-03-01,2022,"March"
"37",36,0.55105430025072,"Evaporation anomaly",2022-03-01,2022,"March"
"38",37,0.547959502905966,"Evaporation anomaly",2022-03-01,2022,"March"
"39",38,0.546932749808945,"Evaporation anomaly",2022-03-01,2022,"March"
"40",39,0.543942822285445,"Evaporation anomaly",2022-03-01,2022,"March"
"41",40,0.540822332406916,"Evaporation anomaly",2022-03-01,2022,"March"
"42",41,0.532399291595891,"Evaporation anomaly",2022-03-01,2022,"March"
"43",42,0.531234391300596,"Evaporation anomaly",2022-03-01,2022,"March"
"44",43,0.526638543205098,"Evaporation anomaly",2022-03-01,2022,"March"
"45",44,0.525301285828442,"Evaporation anomaly",2022-03-01,2022,"March"
"46",45,0.520128437325037,"Evaporation anomaly",2022-03-01,2022,"March"
"47",46,0.518769170430558,"Evaporation anomaly",2022-03-01,2022,"March"
"48",47,0.511874400913625,"Evaporation anomaly",2022-03-01,2022,"March"
"49",48,0.510709721345446,"Evaporation anomaly",2022-03-01,2022,"March"
"50",49,0.504784440038936,"Evaporation anomaly",2022-03-01,2022,"March"
"51",50,0.504263271494123,"Evaporation anomaly",2022-03-01,2022,"March"
"52",51,0.500360779112036,"Evaporation anomaly",2022-03-01,2022,"March"
"53",52,0.670412302017212,"Evaporation anomaly",2022-03-01,2022,"March"
"54",53,0.671542513438207,"Evaporation anomaly",2022-03-01,2022,"March"
"55",54,0.692755401134491,"Evaporation anomaly",2022-03-01,2022,"March"
"56",55,0.693219059511236,"Evaporation anomaly",2022-03-01,2022,"March"
"57",56,0.70175689458847,"Evaporation anomaly",2022-03-01,2022,"March"
"58",57,0.701780967724443,"Evaporation anomaly",2022-03-01,2022,"March"
"59",58,0.703020572662354,"Evaporation anomaly",2022-03-01,2022,"March"
"60",59,0.702931903272586,"Evaporation anomaly",2022-03-01,2022,"March"
"61",60,0.698555469512939,"Evaporation anomaly",2022-03-01,2022,"March"
"62",61,0.698555469512939,"Evaporation anomaly",2022-03-01,2022,"March"
"63",62,0.676566898671655,"Evaporation anomaly",2022-03-01,2022,"March"
"64",63,0.676338255405426,"Evaporation anomaly",2022-03-01,2022,"March"
"65",64,0.62001466873587,"Evaporation anomaly",2022-03-01,2022,"March"
"66",65,0.619473695755005,"Evaporation anomaly",2022-03-01,2022,"March"
"67",66,0.58283353200242,"Evaporation anomaly",2022-03-01,2022,"March"
"68",67,0.581258714199066,"Evaporation anomaly",2022-03-01,2022,"March"
"69",68,0.577636909012151,"Evaporation anomaly",2022-03-01,2022,"March"
"70",69,0.577484428882599,"Evaporation anomaly",2022-03-01,2022,"March"
"71",70,0.567314836274049,"Evaporation anomaly",2022-03-01,2022,"March"
"72",71,0.566494107246399,"Evaporation anomaly",2022-03-01,2022,"March"
"73",72,0.549940991815248,"Evaporation anomaly",2022-03-01,2022,"March"
"74",73,0.548620223999023,"Evaporation anomaly",2022-03-01,2022,"March"
"75",74,0.547446600582604,"Evaporation anomaly",2022-03-01,2022,"March"
"76",75,0.547300279140472,"Evaporation anomaly",2022-03-01,2022,"March"
"77",76,0.544084197587909,"Evaporation anomaly",2022-03-01,2022,"March"
"78",77,0.543514370918274,"Evaporation anomaly",2022-03-01,2022,"March"
"79",78,0.532280451071981,"Evaporation anomaly",2022-03-01,2022,"March"
"80",79,0.530301332473755,"Evaporation anomaly",2022-03-01,2022,"March"
"81",80,0.525970835539737,"Evaporation anomaly",2022-03-01,2022,"March"
"82",81,0.524940371513367,"Evaporation anomaly",2022-03-01,2022,"March"
"83",82,0.52008366187854,"Evaporation anomaly",2022-03-01,2022,"March"
"84",83,0.518932461738586,"Evaporation anomaly",2022-03-01,2022,"March"
"85",84,0.513029052340045,"Evaporation anomaly",2022-03-01,2022,"March"
"86",85,0.511196851730347,"Evaporation anomaly",2022-03-01,2022,"March"
"87",86,0.506557285386028,"Evaporation anomaly",2022-03-01,2022,"March"
"88",87,0.505120933055878,"Evaporation anomaly",2022-03-01,2022,"March"
"89",88,0.504224036748226,"Evaporation anomaly",2022-03-01,2022,"March"
