"","FID","value","parameter","date","year","month"
"1",0,0.201199562576012,"Evaporation anomaly",2022-05-01,2022,"May"
"2",1,0.193065449595451,"Evaporation anomaly",2022-05-01,2022,"May"
"3",2,0.184239838768426,"Evaporation anomaly",2022-05-01,2022,"May"
"4",3,0.135270401835442,"Evaporation anomaly",2022-05-01,2022,"May"
"5",4,0.130625410708881,"Evaporation anomaly",2022-05-01,2022,"May"
"6",5,0.198216214776039,"Evaporation anomaly",2022-05-01,2022,"May"
"7",6,0.161354843186033,"Evaporation anomaly",2022-05-01,2022,"May"
"8",7,0.158025547862053,"Evaporation anomaly",2022-05-01,2022,"May"
"9",8,0.233457226731835,"Evaporation anomaly",2022-05-01,2022,"May"
"10",9,0.243915379047394,"Evaporation anomaly",2022-05-01,2022,"May"
"11",10,0.194226920094955,"Evaporation anomaly",2022-05-01,2022,"May"
"12",11,0.184511572122574,"Evaporation anomaly",2022-05-01,2022,"May"
"13",12,0.161579900791022,"Evaporation anomaly",2022-05-01,2022,"May"
"14",13,0.157075956463814,"Evaporation anomaly",2022-05-01,2022,"May"
"15",14,0.193562186230473,"Evaporation anomaly",2022-05-01,2022,"May"
"16",15,0.203203752636909,"Evaporation anomaly",2022-05-01,2022,"May"
"17",16,0.195192971953496,"Evaporation anomaly",2022-05-01,2022,"May"
"18",17,0.193065449595451,"Evaporation anomaly",2022-05-01,2022,"May"
"19",18,0.15016870821125,"Evaporation anomaly",2022-05-01,2022,"May"
"20",19,0.135270401835442,"Evaporation anomaly",2022-05-01,2022,"May"
"21",20,0.112487587968072,"Evaporation anomaly",2022-05-01,2022,"May"
"22",21,0.104530341923237,"Evaporation anomaly",2022-05-01,2022,"May"
"23",22,0.0970078578553832,"Evaporation anomaly",2022-05-01,2022,"May"
"24",23,0.261532959171157,"Evaporation anomaly",2022-05-01,2022,"May"
"25",24,0.260725631234032,"Evaporation anomaly",2022-05-01,2022,"May"
"26",25,0.259498135319517,"Evaporation anomaly",2022-05-01,2022,"May"
"27",26,0.257557474006555,"Evaporation anomaly",2022-05-01,2022,"May"
"28",27,0.255713210838283,"Evaporation anomaly",2022-05-01,2022,"May"
"29",28,0.235626380785233,"Evaporation anomaly",2022-05-01,2022,"May"
"30",29,0.210281643282118,"Evaporation anomaly",2022-05-01,2022,"May"
"31",30,0.213728062863227,"Evaporation anomaly",2022-05-01,2022,"May"
"32",31,0.219742149147324,"Evaporation anomaly",2022-05-01,2022,"May"
"33",32,0.204193648514358,"Evaporation anomaly",2022-05-01,2022,"May"
"34",33,0.173250449652642,"Evaporation anomaly",2022-05-01,2022,"May"
"35",34,0.167800698092669,"Evaporation anomaly",2022-05-01,2022,"May"
"36",35,0.157292502263412,"Evaporation anomaly",2022-05-01,2022,"May"
"37",36,0.151356109168786,"Evaporation anomaly",2022-05-01,2022,"May"
"38",37,0.143580793074315,"Evaporation anomaly",2022-05-01,2022,"May"
"39",38,0.136729086332234,"Evaporation anomaly",2022-05-01,2022,"May"
"40",39,0.113750245452782,"Evaporation anomaly",2022-05-01,2022,"May"
"41",40,0.107819014108395,"Evaporation anomaly",2022-05-01,2022,"May"
"42",41,0.089557353201746,"Evaporation anomaly",2022-05-01,2022,"May"
"43",42,0.101865288621962,"Evaporation anomaly",2022-05-01,2022,"May"
"44",43,0.143515201566245,"Evaporation anomaly",2022-05-01,2022,"May"
"45",44,0.14374998181502,"Evaporation anomaly",2022-05-01,2022,"May"
"46",45,0.141612444090676,"Evaporation anomaly",2022-05-01,2022,"May"
"47",46,0.130365481826522,"Evaporation anomaly",2022-05-01,2022,"May"
"48",47,0.0734655472377975,"Evaporation anomaly",2022-05-01,2022,"May"
"49",48,0.0791350820802424,"Evaporation anomaly",2022-05-01,2022,"May"
"50",49,0.09752262771074,"Evaporation anomaly",2022-05-01,2022,"May"
"51",50,0.102097176913896,"Evaporation anomaly",2022-05-01,2022,"May"
"52",51,0.128421309056742,"Evaporation anomaly",2022-05-01,2022,"May"
"53",52,0.324685543775558,"Evaporation anomaly",2022-05-01,2022,"May"
"54",53,0.323124137649794,"Evaporation anomaly",2022-05-01,2022,"May"
"55",54,0.293818175792694,"Evaporation anomaly",2022-05-01,2022,"May"
"56",55,0.292108516120633,"Evaporation anomaly",2022-05-01,2022,"May"
"57",56,0.26062673330307,"Evaporation anomaly",2022-05-01,2022,"May"
"58",57,0.26071220366598,"Evaporation anomaly",2022-05-01,2022,"May"
"59",58,0.265113353729248,"Evaporation anomaly",2022-05-01,2022,"May"
"60",59,0.265145913500362,"Evaporation anomaly",2022-05-01,2022,"May"
"61",60,0.266752958297729,"Evaporation anomaly",2022-05-01,2022,"May"
"62",61,0.266752958297729,"Evaporation anomaly",2022-05-01,2022,"May"
"63",62,0.271660881780042,"Evaporation anomaly",2022-05-01,2022,"May"
"64",63,0.27171191573143,"Evaporation anomaly",2022-05-01,2022,"May"
"65",64,0.262857928127273,"Evaporation anomaly",2022-05-01,2022,"May"
"66",65,0.262772887945175,"Evaporation anomaly",2022-05-01,2022,"May"
"67",66,0.202324441365404,"Evaporation anomaly",2022-05-01,2022,"May"
"68",67,0.199726328253746,"Evaporation anomaly",2022-05-01,2022,"May"
"69",68,0.197606478047814,"Evaporation anomaly",2022-05-01,2022,"May"
"70",69,0.197517231106758,"Evaporation anomaly",2022-05-01,2022,"May"
"71",70,0.170216802644295,"Evaporation anomaly",2022-05-01,2022,"May"
"72",71,0.168013542890549,"Evaporation anomaly",2022-05-01,2022,"May"
"73",72,0.157927562854277,"Evaporation anomaly",2022-05-01,2022,"May"
"74",73,0.157122805714607,"Evaporation anomaly",2022-05-01,2022,"May"
"75",74,0.122147165117556,"Evaporation anomaly",2022-05-01,2022,"May"
"76",75,0.117786578834057,"Evaporation anomaly",2022-05-01,2022,"May"
"77",76,0.0971071268556785,"Evaporation anomaly",2022-05-01,2022,"May"
"78",77,0.0934431329369545,"Evaporation anomaly",2022-05-01,2022,"May"
"79",78,0.07166971036927,"Evaporation anomaly",2022-05-01,2022,"May"
"80",79,0.067833811044693,"Evaporation anomaly",2022-05-01,2022,"May"
"81",80,0.111514927968701,"Evaporation anomaly",2022-05-01,2022,"May"
"82",81,0.121909074485302,"Evaporation anomaly",2022-05-01,2022,"May"
"83",82,0.120842019539602,"Evaporation anomaly",2022-05-01,2022,"May"
"84",83,0.120589092373848,"Evaporation anomaly",2022-05-01,2022,"May"
"85",84,0.06280406048694,"Evaporation anomaly",2022-05-01,2022,"May"
"86",85,0.0448697172105312,"Evaporation anomaly",2022-05-01,2022,"May"
"87",86,0.0822628226613168,"Evaporation anomaly",2022-05-01,2022,"May"
"88",87,0.0938392654061317,"Evaporation anomaly",2022-05-01,2022,"May"
"89",88,0.13349375503344,"Evaporation anomaly",2022-05-01,2022,"May"
"90",89,0.149264916777611,"Evaporation anomaly",2022-05-01,2022,"May"
"91",90,0.327715568225176,"Evaporation anomaly",2022-05-01,2022,"May"
"92",91,0.326602996731902,"Evaporation anomaly",2022-05-01,2022,"May"
"93",92,0.325988054911874,"Evaporation anomaly",2022-05-01,2022,"May"
"94",93,0.310104288633871,"Evaporation anomaly",2022-05-01,2022,"May"
"95",94,0.298943084042538,"Evaporation anomaly",2022-05-01,2022,"May"
