"","FID","value","parameter","date","year","month"
"1",0,-0.0310486258880586,"Evaporation anomaly",2022-11-01,2022,"November"
"2",1,-0.0379740782082081,"Evaporation anomaly",2022-11-01,2022,"November"
"3",2,-0.0384254277772164,"Evaporation anomaly",2022-11-01,2022,"November"
"4",3,-0.0409297682344913,"Evaporation anomaly",2022-11-01,2022,"November"
"5",4,-0.0449597225651091,"Evaporation anomaly",2022-11-01,2022,"November"
"6",5,0.00395863130688667,"Evaporation anomaly",2022-11-01,2022,"November"
"7",6,0.0103809478371624,"Evaporation anomaly",2022-11-01,2022,"November"
"8",7,0.0109610073268414,"Evaporation anomaly",2022-11-01,2022,"November"
"9",8,0.030652157780906,"Evaporation anomaly",2022-11-01,2022,"November"
"10",9,0.0333822183310986,"Evaporation anomaly",2022-11-01,2022,"November"
"11",10,0.0244504835651699,"Evaporation anomaly",2022-11-01,2022,"November"
"12",11,0.022704103961587,"Evaporation anomaly",2022-11-01,2022,"November"
"13",12,0.000559507788086094,"Evaporation anomaly",2022-11-01,2022,"November"
"14",13,-0.00378984934650362,"Evaporation anomaly",2022-11-01,2022,"November"
"15",14,-0.0240013168706044,"Evaporation anomaly",2022-11-01,2022,"November"
"16",15,-0.0293422415852547,"Evaporation anomaly",2022-11-01,2022,"November"
"17",16,-0.0361626877485597,"Evaporation anomaly",2022-11-01,2022,"November"
"18",17,-0.0379740782082081,"Evaporation anomaly",2022-11-01,2022,"November"
"19",18,-0.0401678556265748,"Evaporation anomaly",2022-11-01,2022,"November"
"20",19,-0.0409297682344913,"Evaporation anomaly",2022-11-01,2022,"November"
"21",20,-0.0606959414965815,"Evaporation anomaly",2022-11-01,2022,"November"
"22",21,-0.0675995796918869,"Evaporation anomaly",2022-11-01,2022,"November"
"23",22,-0.0743490321698005,"Evaporation anomaly",2022-11-01,2022,"November"
"24",23,-0.303103467764046,"Evaporation anomaly",2022-11-01,2022,"November"
"25",24,-0.299498073285292,"Evaporation anomaly",2022-11-01,2022,"November"
"26",25,-0.295510669172636,"Evaporation anomaly",2022-11-01,2022,"November"
"27",26,-0.286574628405157,"Evaporation anomaly",2022-11-01,2022,"November"
"28",27,-0.27650691678477,"Evaporation anomaly",2022-11-01,2022,"November"
"29",28,-0.254288715439731,"Evaporation anomaly",2022-11-01,2022,"November"
"30",29,-0.222476625942064,"Evaporation anomaly",2022-11-01,2022,"November"
"31",30,-0.184984183712638,"Evaporation anomaly",2022-11-01,2022,"November"
