"","FID","value","parameter","date","year","month"
"1",0,-0.0528222135488079,"Evaporation anomaly",2022-10-01,2022,"October"
"2",1,-0.082919217646122,"Evaporation anomaly",2022-10-01,2022,"October"
"3",2,-0.0913805378789737,"Evaporation anomaly",2022-10-01,2022,"October"
"4",3,-0.138328686356544,"Evaporation anomaly",2022-10-01,2022,"October"
"5",4,-0.146800550710925,"Evaporation anomaly",2022-10-01,2022,"October"
"6",5,0.0290884934365749,"Evaporation anomaly",2022-10-01,2022,"October"
"7",6,0.0210500179730955,"Evaporation anomaly",2022-10-01,2022,"October"
"8",7,0.0203239880502224,"Evaporation anomaly",2022-10-01,2022,"October"
"9",8,0.0773341317576724,"Evaporation anomaly",2022-10-01,2022,"October"
"10",9,0.0852382481098175,"Evaporation anomaly",2022-10-01,2022,"October"
"11",10,0.0563758193285958,"Evaporation anomaly",2022-10-01,2022,"October"
"12",11,0.0507324859499931,"Evaporation anomaly",2022-10-01,2022,"October"
"13",12,-0.00279823844259694,"Evaporation anomaly",2022-10-01,2022,"October"
"14",13,-0.0133120557293296,"Evaporation anomaly",2022-10-01,2022,"October"
"15",14,-0.0386981780292079,"Evaporation anomaly",2022-10-01,2022,"October"
"16",15,-0.0454065166413784,"Evaporation anomaly",2022-10-01,2022,"October"
"17",16,-0.0750471793205881,"Evaporation anomaly",2022-10-01,2022,"October"
"18",17,-0.082919217646122,"Evaporation anomaly",2022-10-01,2022,"October"
"19",18,-0.124045330377733,"Evaporation anomaly",2022-10-01,2022,"October"
"20",19,-0.138328686356544,"Evaporation anomaly",2022-10-01,2022,"October"
"21",20,-0.179881598609012,"Evaporation anomaly",2022-10-01,2022,"October"
"22",21,-0.194394588470459,"Evaporation anomaly",2022-10-01,2022,"October"
"23",22,-0.224431971693461,"Evaporation anomaly",2022-10-01,2022,"October"
"24",23,0.220991340488444,"Evaporation anomaly",2022-10-01,2022,"October"
"25",24,0.217852095529185,"Evaporation anomaly",2022-10-01,2022,"October"
"26",25,0.214310752267661,"Evaporation anomaly",2022-10-01,2022,"October"
"27",26,0.202317400829182,"Evaporation anomaly",2022-10-01,2022,"October"
"28",27,0.189076881504085,"Evaporation anomaly",2022-10-01,2022,"October"
"29",28,0.166468113542017,"Evaporation anomaly",2022-10-01,2022,"October"
"30",29,0.135617649045166,"Evaporation anomaly",2022-10-01,2022,"October"
"31",30,0.112162475713469,"Evaporation anomaly",2022-10-01,2022,"October"
"32",31,0.0805043115899198,"Evaporation anomaly",2022-10-01,2022,"October"
"33",32,0.0623366453357472,"Evaporation anomaly",2022-10-01,2022,"October"
"34",33,0.0295394910243946,"Evaporation anomaly",2022-10-01,2022,"October"
"35",34,0.0274831796029177,"Evaporation anomaly",2022-10-01,2022,"October"
"36",35,0.0238034196820119,"Evaporation anomaly",2022-10-01,2022,"October"
"37",36,0.0274237121879164,"Evaporation anomaly",2022-10-01,2022,"October"
"38",37,0.0380604997263917,"Evaporation anomaly",2022-10-01,2022,"October"
"39",38,0.0359819700021508,"Evaporation anomaly",2022-10-01,2022,"October"
"40",39,0.0276935371350206,"Evaporation anomaly",2022-10-01,2022,"October"
"41",40,0.0210051262684873,"Evaporation anomaly",2022-10-01,2022,"October"
"42",41,-0.000524951794553207,"Evaporation anomaly",2022-10-01,2022,"October"
"43",42,-0.00690652054061117,"Evaporation anomaly",2022-10-01,2022,"October"
"44",43,-0.0298180855915728,"Evaporation anomaly",2022-10-01,2022,"October"
"45",44,-0.037267320234261,"Evaporation anomaly",2022-10-01,2022,"October"
"46",45,-0.0639412059900906,"Evaporation anomaly",2022-10-01,2022,"October"
"47",46,-0.0713348754264443,"Evaporation anomaly",2022-10-01,2022,"October"
"48",47,-0.106924491511045,"Evaporation anomaly",2022-10-01,2022,"October"
"49",48,-0.118278783404906,"Evaporation anomaly",2022-10-01,2022,"October"
"50",49,-0.170366288138624,"Evaporation anomaly",2022-10-01,2022,"October"
"51",50,-0.179528872042743,"Evaporation anomaly",2022-10-01,2022,"October"
"52",51,-0.236424123980274,"Evaporation anomaly",2022-10-01,2022,"October"
"53",52,0.230728849768639,"Evaporation anomaly",2022-10-01,2022,"October"
"54",53,0.230452984323006,"Evaporation anomaly",2022-10-01,2022,"October"
"55",54,0.225275278091431,"Evaporation anomaly",2022-10-01,2022,"October"
"56",55,0.225293153438961,"Evaporation anomaly",2022-10-01,2022,"October"
"57",56,0.225622311234474,"Evaporation anomaly",2022-10-01,2022,"October"
"58",57,0.225568110627309,"Evaporation anomaly",2022-10-01,2022,"October"
"59",58,0.222777143120766,"Evaporation anomaly",2022-10-01,2022,"October"
"60",59,0.222686505917291,"Evaporation anomaly",2022-10-01,2022,"October"
"61",60,0.218212947249413,"Evaporation anomaly",2022-10-01,2022,"October"
"62",61,0.218212947249413,"Evaporation anomaly",2022-10-01,2022,"October"
"63",62,0.213749906184743,"Evaporation anomaly",2022-10-01,2022,"October"
"64",63,0.213703498244286,"Evaporation anomaly",2022-10-01,2022,"October"
"65",64,0.191363314521065,"Evaporation anomaly",2022-10-01,2022,"October"
"66",65,0.191148743033409,"Evaporation anomaly",2022-10-01,2022,"October"
"67",66,0.137561101267099,"Evaporation anomaly",2022-10-01,2022,"October"
"68",67,0.135257869958878,"Evaporation anomaly",2022-10-01,2022,"October"
"69",68,0.0773204834914467,"Evaporation anomaly",2022-10-01,2022,"October"
"70",69,0.0748812854290009,"Evaporation anomaly",2022-10-01,2022,"October"
"71",70,0.0330130380645526,"Evaporation anomaly",2022-10-01,2022,"October"
"72",71,0.0296340938657522,"Evaporation anomaly",2022-10-01,2022,"October"
"73",72,0.0249802223829618,"Evaporation anomaly",2022-10-01,2022,"October"
"74",73,0.0246088914573193,"Evaporation anomaly",2022-10-01,2022,"October"
"75",74,0.0257852839784355,"Evaporation anomaly",2022-10-01,2022,"October"
"76",75,0.0259319506585598,"Evaporation anomaly",2022-10-01,2022,"October"
"77",76,0.0218118176928583,"Evaporation anomaly",2022-10-01,2022,"October"
"78",77,0.0210818108171225,"Evaporation anomaly",2022-10-01,2022,"October"
"79",78,0.00620932807646769,"Evaporation anomaly",2022-10-01,2022,"October"
"80",79,0.00358919124118984,"Evaporation anomaly",2022-10-01,2022,"October"
"81",80,-0.0188385676320473,"Evaporation anomaly",2022-10-01,2022,"October"
"82",81,-0.0241753682494164,"Evaporation anomaly",2022-10-01,2022,"October"
"83",82,-0.0500530542915853,"Evaporation anomaly",2022-10-01,2022,"October"
"84",83,-0.05618691816926,"Evaporation anomaly",2022-10-01,2022,"October"
"85",84,-0.0838185723710025,"Evaporation anomaly",2022-10-01,2022,"October"
"86",85,-0.0923944190144539,"Evaporation anomaly",2022-10-01,2022,"October"
"87",86,-0.142289686683231,"Evaporation anomaly",2022-10-01,2022,"October"
"88",87,-0.157736644148827,"Evaporation anomaly",2022-10-01,2022,"October"
"89",88,-0.213390708243357,"Evaporation anomaly",2022-10-01,2022,"October"
"90",89,-0.235525131225586,"Evaporation anomaly",2022-10-01,2022,"October"
