"","FID","value","parameter","date","year","month"
"1",0,-0.323048083106378,"Evaporation anomaly",2022-09-01,2022,"September"
"2",1,-0.312806993722916,"Evaporation anomaly",2022-09-01,2022,"September"
"3",2,-0.310828321702695,"Evaporation anomaly",2022-09-01,2022,"September"
"4",3,-0.299849539995193,"Evaporation anomaly",2022-09-01,2022,"September"
"5",4,-0.294178060185546,"Evaporation anomaly",2022-09-01,2022,"September"
"6",5,-0.299749761819839,"Evaporation anomaly",2022-09-01,2022,"September"
"7",6,-0.34099385297938,"Evaporation anomaly",2022-09-01,2022,"September"
"8",7,-0.344718992710114,"Evaporation anomaly",2022-09-01,2022,"September"
"9",8,-0.290684624454052,"Evaporation anomaly",2022-09-01,2022,"September"
"10",9,-0.283193081617355,"Evaporation anomaly",2022-09-01,2022,"September"
"11",10,-0.312292945510891,"Evaporation anomaly",2022-09-01,2022,"September"
"12",11,-0.317982703447342,"Evaporation anomaly",2022-09-01,2022,"September"
"13",12,-0.339635391002049,"Evaporation anomaly",2022-09-01,2022,"September"
"14",13,-0.343888133764267,"Evaporation anomaly",2022-09-01,2022,"September"
"15",14,-0.329399951748727,"Evaporation anomaly",2022-09-01,2022,"September"
"16",15,-0.325571417808533,"Evaporation anomaly",2022-09-01,2022,"September"
"17",16,-0.315485607443443,"Evaporation anomaly",2022-09-01,2022,"September"
"18",17,-0.312806993722916,"Evaporation anomaly",2022-09-01,2022,"September"
"19",18,-0.303189689765249,"Evaporation anomaly",2022-09-01,2022,"September"
"20",19,-0.299849539995193,"Evaporation anomaly",2022-09-01,2022,"September"
"21",20,-0.272031990868587,"Evaporation anomaly",2022-09-01,2022,"September"
"22",21,-0.262316286563873,"Evaporation anomaly",2022-09-01,2022,"September"
"23",22,-0.254263259370316,"Evaporation anomaly",2022-09-01,2022,"September"
"24",23,-0.0897152137280351,"Evaporation anomaly",2022-09-01,2022,"September"
"25",24,-0.0834991033512309,"Evaporation anomaly",2022-09-01,2022,"September"
"26",25,-0.0770598221250076,"Evaporation anomaly",2022-09-01,2022,"September"
"27",26,-0.0847555357037479,"Evaporation anomaly",2022-09-01,2022,"September"
"28",27,-0.0935449702733001,"Evaporation anomaly",2022-09-01,2022,"September"
"29",28,-0.135252148829194,"Evaporation anomaly",2022-09-01,2022,"September"
"30",29,-0.191822727838514,"Evaporation anomaly",2022-09-01,2022,"September"
"31",30,-0.224964474572393,"Evaporation anomaly",2022-09-01,2022,"September"
"32",31,-0.269357865427332,"Evaporation anomaly",2022-09-01,2022,"September"
"33",32,-0.299132308283682,"Evaporation anomaly",2022-09-01,2022,"September"
"34",33,-0.35281223154376,"Evaporation anomaly",2022-09-01,2022,"September"
"35",34,-0.363983647830119,"Evaporation anomaly",2022-09-01,2022,"September"
"36",35,-0.384139063674529,"Evaporation anomaly",2022-09-01,2022,"September"
"37",36,-0.388953252653617,"Evaporation anomaly",2022-09-01,2022,"September"
"38",37,-0.396037277475139,"Evaporation anomaly",2022-09-01,2022,"September"
"39",38,-0.393095014591215,"Evaporation anomaly",2022-09-01,2022,"September"
"40",39,-0.389684641179388,"Evaporation anomaly",2022-09-01,2022,"September"
"41",40,-0.382929440959144,"Evaporation anomaly",2022-09-01,2022,"September"
"42",41,-0.368623598841995,"Evaporation anomaly",2022-09-01,2022,"September"
"43",42,-0.360775380897783,"Evaporation anomaly",2022-09-01,2022,"September"
"44",43,-0.334428869738518,"Evaporation anomaly",2022-09-01,2022,"September"
"45",44,-0.328421960276179,"Evaporation anomaly",2022-09-01,2022,"September"
"46",45,-0.308015072206817,"Evaporation anomaly",2022-09-01,2022,"September"
"47",46,-0.303662778991737,"Evaporation anomaly",2022-09-01,2022,"September"
"48",47,-0.283311493150846,"Evaporation anomaly",2022-09-01,2022,"September"
"49",48,-0.282203676724729,"Evaporation anomaly",2022-09-01,2022,"September"
"50",49,-0.273342604988005,"Evaporation anomaly",2022-09-01,2022,"September"
"51",50,-0.273745461172245,"Evaporation anomaly",2022-09-01,2022,"September"
"52",51,-0.276531786772767,"Evaporation anomaly",2022-09-01,2022,"September"
"53",52,-0.11626136302948,"Evaporation anomaly",2022-09-01,2022,"September"
"54",53,-0.11619071332074,"Evaporation anomaly",2022-09-01,2022,"September"
"55",54,-0.114864692091942,"Evaporation anomaly",2022-09-01,2022,"September"
"56",55,-0.114662672035435,"Evaporation anomaly",2022-09-01,2022,"September"
"57",56,-0.110942661762238,"Evaporation anomaly",2022-09-01,2022,"September"
"58",57,-0.110882995987742,"Evaporation anomaly",2022-09-01,2022,"September"
"59",58,-0.107810609042645,"Evaporation anomaly",2022-09-01,2022,"September"
"60",59,-0.107738200600077,"Evaporation anomaly",2022-09-01,2022,"September"
"61",60,-0.104164354503155,"Evaporation anomaly",2022-09-01,2022,"September"
"62",61,-0.104164354503155,"Evaporation anomaly",2022-09-01,2022,"September"
"63",62,-0.0841547184630187,"Evaporation anomaly",2022-09-01,2022,"September"
"64",63,-0.0839466527104378,"Evaporation anomaly",2022-09-01,2022,"September"
